artist,title,year,source_rank
Sufjan Stevens,The Age of Adz,2010,15
Joanna Newsom,Have One On Me,2010,16
Gorillaz,Plastic Beach,2010,17
Yeasayer,Odd Blood,2010,18
Robyn,Body Talk,2010,19
Titus Andronicus,The Monitor,2010,20
Drake,Thank Me Later,2010,21
Four Tet,There Is Love in You,2010,22
These New Puritans,Hidden,2010,23
Foals,Total Life Forever,2010,24
Best Coast,Crazy for You,2010,25
Mumford & Sons,Sigh No More,2010,26
Laura Marling,I Speak Because I Can,2010,27
Grinderman,Grinderman 2,2010,28
MGMT,Congratulations,2010,29
The Roots,How I Got Over,2010,30
John Grant,Queen of Denmark,2010,31
The Tallest Man on Earth,The Wild Hunt,2010,32
Superchunk,Majesty Shredding,2010,33
Warpaint,The Fool,2010,34
Gil Scott-Heron,I'm New Here,2010,35
The Walkmen,Lisbon,2010,36
No Age,Everything in Between,2010,37
Emeralds,Does It Look Like I'm Here?,2010,38
Eminem,Recovery,2010,39
Robert Plant,Band of Joy,2010,40
Surfer Blood,Astro Coast,2010,41
Oneohtrix Point Never,Returnal,2010,42
Spoon,Transference,2010,43
Swans,My Father Will Guide Me Up a Rope to the Sky,2010,44
Hot Chip,One Life Stand,2010,45
Liars,Sisterworld,2010,46
SALEM,King Night,2010,47
Neil Young,Le Noise,2010,48
Local Natives,Gorilla Manor,2010,49
Jamey Johnson,The Guitar Song,2010,50
PJ Harvey,Let England Shake,2011,1
Bon Iver,"Bon Iver, Bon Iver",2011,2
St. Vincent,Strange Mercy,2011,3
The Weeknd,House Of Balloons,2011,4
Fleet Foxes,Helplessness Blues,2011,5
Tune-Yards,w h o k i l l,2011,6
James Blake,James Blake,2011,7
Adele,21,2011,8
Shabazz Palaces,Black Up,2011,9
Destroyer,Kaputt,2011,10
Girls,"Father, Son, Holy Ghost",2011,11
JAY-Z & Kanye West,Watch the Throne,2011,12
The Horrors,Skying,2011,13
M83,"Hurry Up, We're Dreaming.",2011,14
Kurt Vile,Smoke Ring for My Halo,2011,15
The Antlers,Burst Apart,2011,16
Drake,Take Care,2011,17
Wild Beasts,Smother,2011,18
Fucked Up,David Comes to Life,2011,19
Metronomy,The English Riviera,2011,20
Tom Waits,Bad as Me,2011,21
Radiohead,The King of Limbs,2011,22
Real Estate,Days,2011,23
EMA,Past Life Martyred Saints,2011,24
The War on Drugs,Slave Ambient,2011,25
Yuck,Yuck,2011,26
Florence + the Machine,Ceremonials,2011,27
Lykke Li,Wounded Rhymes,2011,28
Frank Ocean,"nostalgia,ULTRA.",2011,29
Wilco,The Whole Love,2011,30
Gang Gang Dance,Eye Contact,2011,31
Tim Hecker,"Ravedeath, 1972",2011,32
Wild Flag,Wild Flag,2011,33
Oneohtrix Point Never,Replica,2011,34
Washed Out,Within and Without,2011,35
Panda Bear,Tomboy,2011,36
Katy B,On a Mission,2011,37
SBTRKT,SBTRKT,2011,38
Kate Bush,50 Words for Snow,2011,39
Atlas Sound,Parallax,2011,40
The Decemberists,The King is Dead,2011,41
Danny Brown,XXX,2011,42
Cults,Cults,2011,43
Gillian Welch,The Harrow & The Harvest,2011,44
A$AP Rocky,LIVE.LOVE.A$AP,2011,45
Beyoncé,4,2011,46
Colin Stetson,New History Warfare Vol. 2: Judges,2011,47
Björk,Biophilia,2011,48
Nicolás Jaar,Space Is Only Noise,2011,49
The Black Keys,El Camino,2011,50
Frank Ocean,channel ORANGE,2012,1
Kendrick Lamar,"good kid, m.A.A.d city",2012,2
Tame Impala,Lonerism,2012,3
Grimes,Visions,2012,4
Fiona Apple,The Idler Wheel Is Wiser than the Driver of the Screw and Whipping Cords Will Serve You More than Ropes Will Ever Do,2012,5
Japandroids,Celebration Rock,2012,6
Swans,The Seer,2012,7
Beach House,Bloom,2012,8
Chromatics,Kill for Love,2012,9
Grizzly Bear,Shields,2012,10
Killer Mike,R.A.P. Music,2012,11
Jessie Ware,Devotion,2012,12
Flying Lotus,Until the Quiet Comes,2012,13
Jack White,Blunderbuss,2012,14
Sharon Van Etten,Tramp,2012,15
Miguel,Kaleidoscope Dream,2012,16
Death Grips,The Money Store,2012,17
alt-J,An Awesome Wave,2012,18
Dirty Projectors,Swing Lo Magellan,2012,19
John Talabot,ƒIN,2012,20
Cloud Nothings,Attack on Memory,2012,21
Django Django,Django Django,2012,22
Godspeed You! Black Emperor,'Allelujah! Don't Bend! Ascend!,2012,23
The xx,Coexist,2012,24
Cat Power,Sun,2012,25
Bat For Lashes,The Haunted Man,2012,26
Andy Stott,Luxury Problems,2012,27
Actress,R.I.P.,2012,28
Purity Ring,shrines,2012,29
Liars,WIXIW,2012,30
Father John Misty,Fear Fun,2012,31
DIIV,Oshin,2012,32
Alabama Shakes,Boys & Girls,2012,33
Bob Dylan,Tempest,2012,34
Leonard Cohen,Old Ideas,2012,35
El-P,Cancer 4 Cure,2012,36
Scott Walker,Bish Bosch,2012,37
Spiritualized,Sweet Heart Sweet Light,2012,38
The Walkmen,Heaven,2012,39
Julia Holter,Ekstasis,2012,40
The Men,Open Your Heart,2012,41
Wild Nothing,Nocturne,2012,42
First Aid Kit,The Lion's Roar,2012,43
Bruce Springsteen,Wrecking Ball,2012,44
Twin Shadow,Confess,2012,45
Ty Segall Band,Slaughterhouse,2012,46
TOY,Toy,2012,47
Ariel Pink's Haunted Graffiti,Mature Themes,2012,48
Chairlift,Something,2012,49
How to Dress Well,Total Loss,2012,50
Kanye West,Yeezus,2013,1
Vampire Weekend,Modern Vampires of the City,2013,2
Arcade Fire,Reflektor,2013,3
my bloody valentine,m b v,2013,4
Daft Punk,Random Access Memories,2013,5
HAIM,Days Are Gone,2013,6
The National,Trouble Will Find Me,2013,7
The Knife,Shaking the Habitual,2013,8
Arctic Monkeys,AM,2013,9
Disclosure,Settle,2013,10
Savages,Silence Yourself,2013,11
David Bowie,The Next Day,2013,12
Chance the Rapper,Acid Rap,2013,13
CHVRCHES,The Bones of What You Believe,2013,14
Kurt Vile,Wakin on a Pretty Daze,2013,15
Jon Hopkins,Immunity,2013,16
Lorde,Pure Heroine,2013,17
Queens of the Stone Age,...Like Clockwork,2013,18
Julia Holter,Loud City Song,2013,19
Nick Cave & The Bad Seeds,Push the Sky Away,2013,20
Oneohtrix Point Never,R Plus Seven,2013,21
James Blake,Overgrown,2013,22
Janelle Monáe,The Electric Lady,2013,23
Danny Brown,Old,2013,24
John Grant,Pale Green Ghosts,2013,25
Deafheaven,Sunbather,2013,26
Neko Case,"The Worse Things Get, The Harder I Fight, The Harder I Fight, The More I Love You",2013,27
Drake,Nothing Was the Same,2013,28
Run The Jewels,Run The Jewels,2013,29
Tim Hecker,Virgins,2013,30
Boards of Canada,Tomorrow's Harvest,2013,31
Earl Sweatshirt,Doris,2013,32
Sky Ferreira,"Night Time, My Time",2013,33
Phosphorescent,Muchacho,2013,34
Laura Marling,Once I Was an Eagle,2013,35
Bill Callahan,Dream River,2013,36
Autre Ne Veut,Anxiety,2013,37
Deerhunter,Monomania,2013,38
Waxahatchee,Cerulean Salt,2013,39
Parquet Courts,Light Up Gold,2013,40
Factory Floor,Factory Floor,2013,41
DARKSIDE,Psychic,2013,42
Kacey Musgraves,Same Trailer Different Park,2013,43
James Holden,The Inheritors,2013,44
Atoms for Peace,AMOK,2013,45
These New Puritans,Field of Reeds,2013,46
Kelela,Cut 4 Me,2013,47
Foals,Holy Fire,2013,48
Pusha T,My Name Is My Name,2013,49
Rhye,Woman,2013,50
The War on Drugs,Lost in the Dream,2014,1
St. Vincent,St. Vincent,2014,2
FKA twigs,LP1,2014,3
Run The Jewels,Run The Jewels 2,2014,4
Caribou,Our Love,2014,5
Aphex Twin,Syro,2014,6
Angel Olsen,Burn Your Fire for No Witness,2014,7
Sharon Van Etten,Are We There,2014,8
Todd Terje,It's Album Time,2014,9
Sun Kil Moon,Benji,2014,10
Flying Lotus,You're Dead!,2014,11
Perfume Genius,Too Bright,2014,12
Swans,To Be Kind,2014,13
Lana Del Rey,Ultraviolence,2014,14
Beck,Morning Phase,2014,15
Taylor Swift,1989,2014,16
Spoon,They Want My Soul,2014,17
Future Islands,Singles,2014,18
Mac DeMarco,Salad Days,2014,19
Jack White,Lazaretto,2014,20
Freddie Gibbs & Madlib,Piñata,2014,21
YG,My Krazy Life,2014,22
Against Me!,Transgender Dysphoria Blues,2014,23
Grouper,Ruins,2014,24
Jenny Lewis,The Voyager,2014,25
Lykke Li,I Never Learn,2014,26
The Bug,Angels and Devils,2014,27
Jessie Ware,Tough Love,2014,28
Cloud Nothings,Here and Nowhere Else,2014,29
Azealia Banks,Broke with Expensive Taste,2014,30
Parquet Courts,Sunbathing Animal,2014,31
Wild Beasts,Present Tense,2014,32
First Aid Kit,Stay Gold,2014,33
alt-J,This Is All Yours,2014,34
Andy Stott,Faith in Strangers,2014,35
Damon Albarn,Everyday Robots,2014,36
Dean Blunt,BLACK METAL,2014,37
Shabazz Palaces,Lese Majesty,2014,38
Scott Walker & Sunn O))),Soused,2014,39
Ariel Pink,pom pom,2014,40
D'Angelo,Black Messiah,2014,41
La Roux,Trouble in Paradise,2014,42
Sturgill Simpson,Metamodern Sounds in Country Music,2014,43
Arca,Xen,2014,44
Royal Blood,Royal Blood,2014,45
Ex Hex,Rips,2014,46
Tune-Yards,Nikki Nack,2014,47
Sleaford Mods,Divide and Exit,2014,48
East India Youth,Total Strife Forever,2014,49
Alvvays,Alvvays,2014,50
Kendrick Lamar,To Pimp a Butterfly,2015,1
Sufjan Stevens,Carrie & Lowell,2015,2
Father John Misty,"I Love You, Honeybear",2015,3
Grimes,Art Angels,2015,4
Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit",2015,5
Jamie xx,In Colour,2015,6
Tame Impala,Currents,2015,7
Björk,Vulnicura,2015,8
Julia Holter,Have You in My Wilderness,2015,9
Sleater-Kinney,No Cities to Love,2015,10
Carly Rae Jepsen,E•MO•TION,2015,11
Vince Staples,Summertime '06,2015,12
Joanna Newsom,Divers,2015,13
Oneohtrix Point Never,Garden of Delete,2015,14
Drake,If You're Reading This It's Too Late,2015,15
Kamasi Washington,The Epic,2015,16
Future,DS2,2015,17
Adele,25,2015,18
Holly Herndon,Platform,2015,19
Miguel,Wildheart,2015,20
Floating Points,Elaenia,2015,21
Deerhunter,Fading Frontier,2015,22
Deafheaven,New Bermuda,2015,23
Lana Del Rey,Honeymoon,2015,24
Kurt Vile,b'lieve i'm goin down...,2015,25
Alabama Shakes,Sound & Color,2015,26
Unknown Mortal Orchestra,Multi-Love,2015,27
Wolf Alice,My Love is Cool,2015,28
Donnie Trumpet & The Social Experiment,Surf,2015,29
Blur,The Magic Whip,2015,30
Jlin,Dark Energy,2015,31
Jenny Hval,"Apocalypse, girl",2015,32
Shamir,Ratchet,2015,33
Beach House,Depression Cherry,2015,34
Jason Isbell,Something More Than Free,2015,35
Wilco,Star Wars,2015,36
D'Angelo,Black Messiah,2015,37
CHVRCHES,Every Open Eye,2015,38
Preoccupations,Viet Cong,2015,39
Justin Bieber,Purpose,2015,40
Florence + the Machine,"How Big, How Blue, How Beautiful",2015,41
Chris Stapleton,Traveller,2015,42
The Weeknd,Beauty Behind The Madness,2015,43
Leon Bridges,Coming Home,2015,44
Natalie Prass,Natalie Prass,2015,45
New Order,Music Complete,2015,46
A$AP Rocky,AT.LONG.LAST.A$AP,2015,47
Laura Marling,Short Movie,2015,48
Sleaford Mods,Key Markets,2015,49
Tobias Jesso Jr.,Goon,2015,50
David Bowie,★ [Blackstar],2016,1
Beyoncé,Lemonade,2016,2
Frank Ocean,Blonde,2016,3
Solange,A Seat at the Table,2016,4
Radiohead,A Moon Shaped Pool,2016,5
Kanye West,The Life of Pablo,2016,6
Chance the Rapper,Coloring Book,2016,7
A Tribe Called Quest,We got it from Here... Thank You 4 Your service,2016,8
Angel Olsen,MY WOMAN,2016,9
Nick Cave & The Bad Seeds,Skeleton Tree,2016,10
Anderson .Paak,Malibu,2016,11
Bon Iver,"22, A Million",2016,12
ANOHNI,Hopelessness,2016,13
Mitski,Puberty 2,2016,14
Danny Brown,Atrocity Exhibition,2016,15
Car Seat Headrest,Teens of Denial,2016,16
Leonard Cohen,You Want It Darker,2016,17
KAYTRANADA,99.9%,2016,18
Rihanna,ANTI,2016,19
Blood Orange,Freetown Sound,2016,20
Jenny Hval,Blood Bitch,2016,21
The 1975,"I like it when you sleep, for you are so beautiful yet so unaware of it",2016,22
Skepta,Konnichiwa,2016,23
Kendrick Lamar,untitled unmastered.,2016,24
James Blake,The Colour in Anything,2016,25
Sturgill Simpson,A Sailor's Guide to Earth,2016,26
The Avalanches,Wildflower,2016,27
Parquet Courts,Human Performance,2016,28
Savages,Adore Life,2016,29
Iggy Pop,Post Pop Depression,2016,30
Drake,Views,2016,31
Christine and the Queens,Chaleur Humaine,2016,32
Whitney,Light Upon The Lake,2016,33
Jessy Lanza,Oh No,2016,34
PJ Harvey,The Hope Six Demolition Project,2016,35
YG,Still Brazy,2016,36
Margo Price,Midwest Farmer's Daughter,2016,37
Nicolás Jaar,Sirens,2016,38
Young Thug,JEFFERY,2016,39
Drive-By Truckers,American Band,2016,40
Michael Kiwanuka,Love & Hate,2016,41
Neko Case,case/lang/veirs,2016,42
Babyfather,BBF Hosted by DJ Escrow,2016,43
Noname,Telefone,2016,44
Pinegrove,Cardinal,2016,45
ScHoolboy Q,Blank Face LP,2016,46
Miranda Lambert,The Weight of These Wings,2016,47
Anna Meredith,Varmints,2016,48
Kamaiyah,A Good Night in the Ghetto,2016,49
Lambchop,FLOTUS,2016,50
Kendrick Lamar,DAMN.,2017,1
Lorde,Melodrama,2017,2
SZA,Ctrl,2017,3
St. Vincent,MASSEDUCTION,2017,4
LCD Soundsystem,american dream,2017,5
Vince Staples,Big Fish Theory,2017,6
Sampha,Process,2017,7
The War on Drugs,A Deeper Understanding,2017,8
The National,Sleep Well Beast,2017,9
JAY-Z,4:44,2017,10
Kelela,Take Me Apart,2017,11
Mount Eerie,A Crow Looked at Me,2017,12
"Tyler, The Creator",Flower Boy,2017,13
Perfume Genius,No Shape,2017,14
Slowdive,Slowdive,2017,15
Father John Misty,Pure Comedy,2017,16
King Krule,The OOZ,2017,17
Big Thief,Capacity,2017,18
Thundercat,Drunk,2017,19
Jlin,Black Origami,2017,20
Fever Ray,Plunge,2017,21
Julien Baker,Turn Out the Lights,2017,22
Björk,Utopia,2017,23
Migos,Culture,2017,24
Wolf Alice,Visions of a Life,2017,25
Moses Sumney,Aromanticism,2017,26
The xx,I See You,2017,27
Fleet Foxes,Crack-Up,2017,28
Arca,Arca,2017,29
J Hus,Common Sense,2017,30
Kelly Lee Owens,Kelly Lee Owens,2017,31
Queens of the Stone Age,Villains,2017,32
Jason Isbell,The Nashville Sound,2017,33
Richard Dawson,Peasant,2017,34
Protomartyr,Relatives in Descent,2017,35
Drake,More Life,2017,36
Alvvays,Antisocialites,2017,37
Phoebe Bridgers,Stranger in the Alps,2017,38
Aldous Harding,Party,2017,39
Spoon,Hot Thoughts,2017,40
Japanese Breakfast,Soft Sounds From Another Planet,2017,41
Taylor Swift,reputation,2017,42
Hurray for the Riff Raff,The Navigator,2017,43
Margo Price,All American Made,2017,44
IDLES,Brutalism,2017,45
Jay Som,Everybody Works,2017,46
Courtney Barnett & Kurt Vile,Lotta Sea Lice,2017,47
Priests,Nothing Feels Natural,2017,48
Paramore,After Laughter,2017,49
Alex G,Rocket,2017,50
Janelle Monáe,Dirty Computer,2018,1
Mitski,Be the Cowboy,2018,2
Kacey Musgraves,Golden Hour,2018,3
Pusha T,DAYTONA,2018,4
Cardi B,Invasion of Privacy,2018,5
Robyn,Honey,2018,6
Low,Double Negative,2018,7
IDLES,Joy as an Act of Resistance.,2018,8
Christine and the Queens,Chris,2018,9
SOPHIE,OIL OF EVERY PEARL'S UN-INSIDES,2018,10
Ariana Grande,Sweetener,2018,11
Kamasi Washington,Heaven and Earth,2018,12
Parquet Courts,Wide Awake!,2018,13
Arctic Monkeys,Tranquility Base Hotel & Casino,2018,14
Noname,Room 25,2018,15
Courtney Barnett,Tell Me How You Really Feel,2018,16
Beach House,7,2018,17
Blood Orange,Negro Swan,2018,18
Tirzah,Devotion,2018,19
Earl Sweatshirt,Some Rap Songs,2018,20
Tierra Whack,Whack World,2018,21
Snail Mail,Lush,2018,22
U.S. Girls,In a Poem Unlimited,2018,23
Kali Uchis,Isolation,2018,24
ROSALÍA,EL MAL QUERER,2018,25
Travis Scott,ASTROWORLD,2018,26
Yves Tumor,Safe in the Hands of Love,2018,27
Soccer Mommy,Clean,2018,28
Rolling Blackouts Coastal Fever,Hope Downs,2018,29
The 1975,A Brief Inquiry Into Online Relationships,2018,30
shame,Songs of Praise,2018,31
Sons of Kemet,Your Queen is a Reptile,2018,32
Father John Misty,God's Favorite Customer,2018,33
Young Fathers,Cocoa Sugar,2018,34
Jon Hopkins,Singularity,2018,35
Let's Eat Grandma,I'm All Ears,2018,36
DJ Koze,Knock Knock,2018,37
The Internet,Hive Mind,2018,38
Saba,CARE FOR ME,2018,39
Lucy Dacus,Historian,2018,40
KIDS SEE GHOSTS,KIDS SEE GHOSTS,2018,41
Khruangbin,Con Todo El Mundo,2018,42
Hop Along,"Bark Your Head Off, Dog",2018,43
serpentwithfeet,soil,2018,44
Mac Miller,Swimming,2018,45
Amen Dunes,Freedom,2018,46
boygenius,boygenius,2018,47
Vince Staples,FM!,2018,48
Spiritualized,And Nothing Hurt,2018,49
Julia Holter,Aviary,2018,50
Lana Del Rey,Norman Fucking Rockwell!,2019,1
FKA twigs,MAGDALENE,2019,2
Nick Cave & The Bad Seeds,Ghosteen,2019,3
Billie Eilish,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019,4
"Tyler, The Creator",IGOR,2019,5
Angel Olsen,All Mirrors,2019,6
Weyes Blood,Titanic Rising,2019,7
Sharon Van Etten,Remind Me Tomorrow,2019,8
Purple Mountains,Purple Mountains,2019,9
Solange,When I Get Home,2019,10
Vampire Weekend,Father of the Bride,2019,11
Lizzo,Cuz I Love You,2019,12
Big Thief,U.F.O.F.,2019,13
Brittany Howard,Jaime,2019,14
Little Simz,GREY Area,2019,15
Fontaines D.C.,Dogrel,2019,16
Michael Kiwanuka,Kiwanuka,2019,17
Big Thief,Two Hands,2019,18
slowthai,Nothing Great About Britain,2019,19
Ariana Grande,"thank u, next",2019,20
Freddie Gibbs & Madlib,Bandana,2019,21
Bon Iver,"i,i",2019,22
Dave,PSYCHODRAMA,2019,23
Aldous Harding,Designer,2019,24
black midi,Schlagenheim,2019,25
Jamila Woods,LEGACY! LEGACY!,2019,26
TOOL,Fear Inoculum,2019,27
Thom Yorke,ANIMA,2019,28
Bill Callahan,Shepherd in a Sheepskin Vest,2019,29
Alex G,House of Sugar,2019,30
Taylor Swift,Lover,2019,31
Julia Jacklin,Crushing,2019,32
The National,I Am Easy to Find,2019,33
Danny Brown,uknowhatimsayin¿,2019,34
James Blake,Assume Form,2019,35
Bruce Springsteen,Western Stars,2019,36
Jenny Lewis,On the Line,2019,37
Floating Points,Crush,2019,38
Charli xcx,Charli,2019,39
The Comet Is Coming,Trust in the Lifeforce of the Deep Mystery,2019,40
Cate Le Bon,Reward,2019,41
Kano,Hoodies All Summer,2019,42
100 gecs,1000 gecs,2019,43
Jenny Hval,The Practice of Love,2019,44
Megan Thee Stallion,Fever,2019,45
Charly Bliss,Young Enough,2019,46
Kim Gordon,No Home Record,2019,47
Jessica Pratt,Quiet Signs,2019,48
Carly Rae Jepsen,Dedicated,2019,49
Barker,Utility,2019,50
Fiona Apple,Fetch the Bolt Cutters,2020,1
Phoebe Bridgers,Punisher,2020,2
Run The Jewels,RTJ4,2020,3
Taylor Swift,folklore,2020,4
Dua Lipa,Future Nostalgia,2020,5
Perfume Genius,Set My Heart On Fire Immediately,2020,6
Waxahatchee,Saint Cloud,2020,7
SAULT,Untitled (Black Is),2020,8
HAIM,Women in Music Pt. III,2020,9
Bob Dylan,Rough and Rowdy Ways,2020,10
Rina Sawayama,SAWAYAMA,2020,11
Moses Sumney,græ,2020,12
SAULT,Untitled (Rise),2020,13
Yves Tumor,Heaven to a Tortured Mind,2020,14
Jessie Ware,What's Your Pleasure?,2020,15
Fleet Foxes,Shore,2020,16
Fontaines D.C.,A Hero's Death,2020,17
Chloe x Halle,Ungodly Hour,2020,18
The Weeknd,After Hours,2020,19
Charli xcx,how i'm feeling now,2020,20
Tame Impala,The Slow Rush,2020,21
Adrianne Lenker,songs,2020,22
Thundercat,It Is What It Is,2020,23
Laura Marling,Song For Our Daughter,2020,24
Freddie Gibbs & The Alchemist,Alfredo,2020,25
Soccer Mommy,color theory,2020,26
Porridge Radio,Every Bad,2020,27
Róisín Murphy,Róisín Machine,2020,28
Lil Uzi Vert,Eternal Atake,2020,29
Kelly Lee Owens,Inner Song,2020,30
Bartees Strange,Live Forever,2020,31
Bad Bunny,YHLQMDLG,2020,32
